iter	Logloss
0	0.6253144816
1	0.5416377457
2	0.4866226949
3	0.4456026223
4	0.4135744925
5	0.3828458914
6	0.3498154029
7	0.3185666345
8	0.2947227581
9	0.2686211111
10	0.252047774
11	0.2393877517
12	0.2257449916
13	0.2144907964
14	0.2048223521
15	0.1968907241
16	0.1869233649
17	0.1815610124
18	0.1728078218
19	0.1672378677
20	0.1625358
21	0.156161458
22	0.1493114933
23	0.1456172926
24	0.1428133875
25	0.1405864681
26	0.1364968304
27	0.1327658427
28	0.1297446623
29	0.126938961
30	0.124598285
31	0.1210872838
32	0.1189663635
33	0.1160073045
34	0.1142665025
35	0.1127758197
36	0.1106154609
37	0.1088460743
38	0.1065264304
39	0.1049099396
40	0.1027931248
41	0.1007224968
42	0.09852127109
43	0.0976125777
44	0.09696676485
45	0.0953426019
46	0.09415484544
47	0.09340545415
48	0.09210167444
49	0.09144670974
50	0.08985172152
51	0.08846426652
52	0.08783319071
53	0.0871443385
54	0.08561804904
55	0.08460771877
56	0.08395549107
57	0.08237774597
58	0.08130050454
59	0.08010982291
60	0.07841336888
61	0.07769360564
62	0.07684523749
63	0.07566992584
64	0.07504600046
65	0.07440720118
66	0.07396223299
67	0.07309344852
68	0.0721723873
69	0.07153987457
70	0.07095220591
71	0.06997351368
72	0.06916783423
73	0.06830618734
74	0.06770977311
75	0.06728538804
76	0.06681766424
77	0.06641184375
78	0.06517233656
79	0.06442395026
80	0.06380461791
81	0.06326489384
82	0.06273080629
83	0.06173747965
84	0.06086868235
85	0.0603380802
86	0.0599266574
87	0.05925648095
88	0.05895199369
89	0.05874877981
90	0.05819265511
91	0.05801296662
92	0.0570708818
93	0.0566142728
94	0.05608644186
95	0.05579983493
96	0.05517301431
97	0.05468213719
98	0.05433195482
99	0.05414829767
100	0.05325571411
101	0.05297680072
102	0.05223795544
103	0.0518297529
104	0.05155032633
105	0.05109041154
106	0.05081513751
107	0.0504538489
108	0.05022765275
109	0.04975584911
110	0.04960799966
111	0.04889360779
112	0.04881396529
113	0.04811762053
114	0.04782026659
115	0.04752875444
116	0.04720864916
117	0.04694842865
118	0.04667327008
119	0.04645123503
120	0.04632794162
121	0.04615456534
122	0.0456621401
123	0.04524312212
124	0.04470331252
125	0.04432377152
126	0.04360541955
127	0.0432530818
128	0.04265547013
129	0.04192956574
130	0.0413316376
131	0.04054736663
132	0.04006701414
133	0.03974095161
134	0.03926532899
135	0.03900459101
136	0.03872290641
137	0.03851651076
138	0.03837351093
139	0.03800289513
140	0.0376017532
141	0.03753582993
142	0.03742668768
143	0.03699176087
144	0.03693088395
145	0.03684018225
146	0.03642509871
147	0.03627483727
148	0.03590033835
149	0.03575882035
150	0.03566040159
151	0.03541482831
152	0.03505271005
153	0.0345905629
154	0.03451686483
155	0.03398190486
156	0.03357170943
157	0.03351082182
158	0.03332165004
159	0.03306213516
160	0.03286556278
161	0.03252943749
162	0.03250750298
163	0.03231985152
164	0.03227442583
165	0.03225398384
166	0.03186542999
167	0.03151939803
168	0.03119078238
169	0.03098046726
170	0.03057208296
171	0.03022933327
172	0.03004409807
173	0.02981135877
174	0.02978596238
175	0.02975560518
176	0.02973690803
177	0.02938923814
178	0.02936284104
179	0.02910794057
180	0.0288878984
181	0.02847672364
182	0.02829666736
183	0.02800060708
184	0.02790407856
185	0.02788342275
186	0.02750500221
187	0.02744795709
188	0.02716775218
189	0.0269326736
190	0.02672635493
191	0.02671016813
192	0.0263809837
193	0.02622006506
194	0.02615624586
195	0.02613806618
196	0.02577552881
197	0.02552435323
198	0.02547855121
199	0.02532748577
